	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped
242	?	3	29	59	41	he	0	0	0	?	he	False	O	False	2	0	1
243	?	3	6	59	42	he	0	0	124	?	he	False	O	False	2	0	1
244	?	3	39	59	43	he	0	0	168	?	he	False	O	False	2	0	1
245	?	7	190	62	1	their	0	228	324	?	their	False	P	True	5	0	0
246	?	7	2	62	2	their	0	152	96	?	their	False	P	True	5	0	0
247	?	7	24	62	3	their	0	376	180	?	their	False	P	True	5	0	0
248	?	7	24	62	4	their	0	348	176	?	their	False	P	True	5	0	0
249	?	7	130	62	5	their	0	276	296	?	their	False	P	True	5	0	0
250	?	7	201	62	6	their	0	0	0	?	their	False	P	True	5	0	1
251	?	7	7	62	7	their	0	0	156	?	their	False	P	True	5	0	1
252	?	7	26	62	8	their	0	412	636	?	their	False	P	True	5	0	0
253	?	7	2	62	9	their	0	196	252	?	their	False	P	True	5	0	0
254	?	7	169	62	10	their	0	184	172	?	their	False	P	True	5	0	0
255	?	7	195	62	11	their	0	152	452	?	their	False	P	True	5	0	0
256	?	7	44	62	12	their	0	616	156	?	their	False	P	True	5	0	0
257	?	7	111	62	13	their	0	248	284	?	their	False	P	True	5	0	0
258	?	7	113	62	14	their	0	0	0	?	their	False	P	True	5	0	1
259	?	7	121	62	15	their	0	192	172	?	their	False	P	True	5	0	0
260	?	7	123	62	16	their	0	504	920	?	their	False	P	True	5	0	0
261	?	7	14	62	17	their	0	252	240	?	their	False	P	True	5	0	0
262	?	7	105	62	18	their	0	184	308	?	their	False	P	True	5	0	0
263	?	7	99	62	19	their	0	160	212	?	their	False	P	True	5	0	0
264	?	7	52	62	20	their	0	296	148	?	their	False	P	True	5	0	0
265	?	7	77	62	21	their	0	124	196	?	their	False	P	True	5	0	0
266	?	7	91	62	22	their	0	240	432	?	their	False	P	True	5	0	0
267	?	7	65	62	23	their	0	248	408	?	their	False	P	True	5	0	0
268	?	7	155	62	24	their	0	260	108	?	their	False	P	True	5	0	0
269	?	7	25	62	25	their	0	216	264	?	their	False	P	True	5	0	0
270	?	7	162	62	27	their	0	388	228	?	their	False	P	True	5	0	0
271	?	7	119	62	28	their	0	472	436	?	their	False	P	True	5	0	0
272	?	7	182	62	29	their	0	144	216	?	their	False	P	True	5	0	0
273	?	7	13	62	30	their	0	244	584	?	their	False	P	True	5	0	0
274	?	7	175	62	31	their	0	144	0	?	their	False	P	True	5	0	0
275	?	7	51	62	32	their	0	256	288	?	their	False	P	True	5	0	0
276	?	7	159	62	33	their	0	188	252	?	their	False	P	True	5	0	0
277	?	7	124	62	34	their	0	296	0	?	their	False	P	True	5	0	0
278	?	7	148	62	35	their	0	152	264	?	their	False	P	True	5	0	0
279	?	7	92	62	36	their	0	192	200	?	their	False	P	True	5	0	0
280	?	7	115	62	37	their	0	100	340	?	their	False	P	True	5	0	0
281	?	7	159	62	38	their	0	316	0	?	their	False	P	True	5	0	0
